Namespace(backend='gpt-4o-mini', method_evaluate=None, method_generate=None, method_select='greedy', n_evaluate_sample=1, n_generate_sample=1, n_select_sample=1, naive_run=True, prompt_sample='standard', task='game24', task_end_index=1000, task_start_index=900, temperature=0.7)
[1/100] idx=900 | sum(accs)=0 cnt_avg=0.000 cnt_any=0 | puzzle=0:00:03 avg=0:00:03 elapsed=0:00:03 ETA=0:05:36

[2/100] idx=901 | sum(accs)=0 cnt_avg=0.000 cnt_any=0 | puzzle=0:00:00 avg=0:00:02 elapsed=0:00:04 ETA=0:03:33

[3/100] idx=902 | sum(accs)=0 cnt_avg=0.000 cnt_any=0 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:05 ETA=0:02:52

[4/100] idx=903 | sum(accs)=0 cnt_avg=0.000 cnt_any=0 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:06 ETA=0:02:26

[5/100] idx=904 | sum(accs)=0 cnt_avg=0.000 cnt_any=0 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:06 ETA=0:02:10

[6/100] idx=905 | sum(accs)=1 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:07 ETA=0:02:01

[7/100] idx=906 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:08 ETA=0:01:52

[8/100] idx=907 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:09 ETA=0:01:46

[9/100] idx=908 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:10 ETA=0:01:41

[10/100] idx=909 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:10 ETA=0:01:37

[11/100] idx=910 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:11 ETA=0:01:35

